,Institución,Código Único,Nombre del establecimiento,Clasificación,Tipo,Departamento,Provincia,Distrito,UBIGEO,Dirección,Código DISA,Código Red,Código Microrred,DISA,Red,Microrred,Código UE,Unidad Ejecutora,Categoria,Teléfono,Tipo Doc.Categorización,Nro.Doc.Categorización,Horario,Inicio de Actividad,Director Médico y/o Responsable de la Atención de Salud,Estado,Situación,Condición,Inspección,NORTE,ESTE,COTA,CAMAS,lon,lat
2836,GOBIERNO REGIONAL,6918,HOSPITAL TARAPOTO,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,SAN MARTIN,SAN MARTIN,TARAPOTO,220901,ESQUINAS JR. PAJATEN Y BOLIVAR S/N NÚMERO S/N DISTRITO TARAPOTO PROVINCIA SAN MARTIN DEPARTAMENTO SAN MARTIN ,30,0,0,SAN MARTIN,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,1400,HOSPITAL  II-2 TARAPOTO,II-2,042-522357,RESOLUCIÓN,RD N° 365-2013-GRSM/DIRES-SM/DIREFISSA,24 HORAS,06/01/1978,CARLOS ENRIQUE GUZMAN RUIZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.34874546,-6.49453094,354.0,148.0,-76.34874546,-6.49453094
2860,ESSALUD,8652,HOSPITAL NACIONAL RAMIRO PRIALE,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,JUNIN,HUANCAYO,EL TAMBO,120114,AVENIDA INDEPENDENCIA Nº 296,17,0,0,JUNIN,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,III-1,064 248322,RESOLUCIÓN,,24:00 HORAS,10/12/1999,FREDI ARNALDO DE LA CRUZ ALVAREZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-75.22871667,-12.05244,3296.0,258.0,-75.22871667,-12.05244
2957,GOBIERNO REGIONAL,3068,HOSPITAL LUCIO ALDAZABAL PAUCA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,PUNO,HUANCANE,HUANCANE,210601,AV SANTA CRUZ S/N,29,8,0,PUNO,HUANCANE,NO PERTENECE A NINGUNA MICRORED,918,SALUD HUANCANE,II-1,051-566113,RESOLUCIÓN,,08:00 - 18:00,01/01/1970,CARLOS DIONISIO FRETEL ASCUE ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-69.76534525,-15.19916816,3875.0,30.0,-69.76534525,-15.19916816
3117,GOBIERNO REGIONAL,3523,HOSPITAL DE APOYO DE CORACORA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,AYACUCHO,PARINACOCHAS,CORACORA,50701,AV. NELLO CATANZARO  S/N,5,6,0,AYACUCHO,CORACORA,NO PERTENECE A NINGUNA MICRORED,1046,SALUD SARA SARA,II-1,066-451251,RESOLUCIÓN,RD 736-2009-GORE-ICA-DRSA-DG,24 HORAS,18/11/1958,MARIA YSABEL GONZALES LEVANO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-73.78244415,-15.01339177,3198.0,50.0,-73.78244415,-15.01339177
3121,GOBIERNO REGIONAL,2421,QUILLABAMBA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,CUSCO,LA CONVENCION,SANTA ANA,80901,"AVENIDA AVENIDA GENERAL GAMARRA S/Nº SANTA ANA, LA CONVENCION S/N AVENIDA GENERAL GAMARRA S/Nº SANTA ANA, LA CONVENCION SANTA ANA LA CONVENCION CUSCO ",11,3,1,CUSCO,LA CONVENCION,SANTA ANA,1626,HOSPITAL DE QUILLABAMBA,II-1,084-281427,RESOLUCIÓN,,24 HORAS DE LUNES A ,01/01/1900,JORGE GUIMAR CANALES SANTANDER ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-72.69071169,-12.86456688,1087.0,120.0,-72.69071169,-12.86456688
3534,GOBIERNO REGIONAL,4317,HOSPITAL REGIONAL DOCENTE LAS MERCEDES,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LAMBAYEQUE,CHICLAYO,CHICLAYO,140101,AV. LUIS GONZALES Nº 635,19,1,0,LAMBAYEQUE,CHICLAYO,NO PERTENECE A NINGUNA MICRORED,1001,HOSPITAL REGIONAL DOCENTE LAS MERCEDES - CHICLAYO,II-2,074-238232 / 927308497 / RPM # 896737,RESOLUCIÓN,,24 HORAS,01/01/1900,JOSE ADRIANO AREVALO OLIVARES ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-79.84282667,-6.77254167,100.3,214.0,-79.84282667,-6.77254167
3592,ESSALUD,10434,SEGURO SOCIAL DE SALUD - ESSALUD,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,SANTA ANITA,150137,"AVENIDA AV. CARRETERA CENTRAL 1345, KM. 3.5 DISTRITO JESUS MARIA PROVINCIA LIMA DEPARTAMENTO LIMA ",21,0,0,LIMA ESTE,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-E,2220526,RESOLUCIÓN,,24 HORAS,18/11/2008,PEDRO RODOLFO JESUS LLANOS RIVERO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.947995,-12.04757833,298.3,168.0,-76.947995,-12.04757833
3816,ESSALUD,11009,HOSPITAL I SAMUEL PASTOR DE CAMANA ESSALUD,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,AREQUIPA,CAMANA,SAMUEL PASTOR,40208,"AV. PLAZA DE ARMAS S/N, SAMUEL PASTOR - LA PAMPA",4,0,0,AREQUIPA,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-1,54571494,RESOLUCIÓN,,24 HORAS,17/03/2000,ROBERT ARMANDO GONZALES ESPINOZA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-72.6995748,-16.614413,18.9,11.0,-72.6995748,-16.614413
4082,GOBIERNO REGIONAL,6615,"REGIONAL DOCENTE MATERNO INFANTIL ""EL CARMEN""",HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,JUNIN,HUANCAYO,HUANCAYO,120101,JR. PUNO Nº 951,17,0,0,JUNIN,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,825,SALUD EL CARMEN,III-E,064-233371,RESOLUCIÓN,,24 HORAS,01/01/1900,PILAR SALOME DIAZ VALER ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-75.214222,-12.070161,3325.0,161.0,-75.214222,-12.070161
4114,GOBIERNO REGIONAL,519,DE APOYO JUNIN,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,JUNIN,JUNIN,JUNIN,120501,JR.SAENZ PEÑA Nº 650,17,6,0,JUNIN,JUNIN,NO PERTENECE A NINGUNA MICRORED,830,SALUD JUNIN,II-1,064-344033,RESOLUCIÓN,923-2011-DRSJ/OEGDRH,24 HORAS,23/09/1981,ELIO QUISPE GOMEZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-75.99831121,-11.15840599,4142.993,50.0,-75.99831121,-11.15840599
4168,GOBIERNO REGIONAL,3655,"HOSPITAL DE APOYO DE HUANTA ""DANIEL ALCIDES CARRIÓN""",HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,AYACUCHO,HUANTA,HUANTA,50401,AV. MARISCAL CASTILLA  Nº 625,5,2,0,AYACUCHO,HUANTA,NO PERTENECE A NINGUNA MICRORED,1321,RED DE SALUD AYACUCHO NORTE,II-1,066-321030,RESOLUCIÓN,Nº 1514-2012-GRA/GG-GRDS-DIRESA-DR,24 HORAS,18/11/1996,MARTIN ESPINOZA CARPIO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-74.25151333,-12.93604333,2657.0,56.0,-74.25151333,-12.93604333
4209,ESSALUD,20274,HOSPITAL I YURIMAGUAS,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LORETO,ALTO AMAZONAS,YURIMAGUAS,160201,HUMBOLT N° 100,24,0,0,LORETO,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,Sin Categoría,065-352572,RESOLUCIÓN,,24 HORAS,30/01/1985,JUAN CARLOS MORI CELIS ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.11616333,-5.89606,131.8,11.0,-76.11616333,-5.89606
4342,GOBIERNO REGIONAL,3128,ANTONIO BARRIONUEVO (LAMPA),HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,PUNO,LAMPA,LAMPA,210701,JR. ANTONIO BARRIONUEVO Nº 323,29,9,0,PUNO,LAMPA,NO PERTENECE A NINGUNA MICRORED,1621,SALUD LAMPA,II-1,051-951711221,RESOLUCIÓN,,24 HORAS,05/04/1879,PEDRO ELOY VALERO GALLEGOS ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-70.36606761,-15.36209971,3908.0,11.0,-70.36606761,-15.36209971
4370,GOBIERNO REGIONAL,7686,REGIONAL CAJAMARCA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,CAJAMARCA,CAJAMARCA,CAJAMARCA,60101,AV. MARIO URTEAGA Nº 500,7,0,0,CAJAMARCA,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,999,REGION CAJAMARCA-HOSPITAL CAJAMARCA,II-2,076362156 / 076599030,RESOLUCIÓN,,24 HORAS,28/06/1963,WALTER ENRIQUE VARGAS ROJAS ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-78.487692,-7.183407,2720.0,184.0,-78.487692,-7.183407
4441,GOBIERNO REGIONAL,4223,SAN JAVIER BELLAVISTA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,CAJAMARCA,JAEN,BELLAVISTA,60802,JR DANIEL ALCIDES CARRION S/N,7,0,0,CAJAMARCA,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,788,REGION CAJAMARCA-SALUD JAEN,II-1,ACTUALIZAR,RESOLUCIÓN,ER 186-2011-GR.CAJ/DRS-DESP,24 HORAS,03/12/1952,JOSE CELIZ VASQUEZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-78.67719224,-5.66344342,447.0,15.0,-78.67719224,-5.66344342
4561,GOBIERNO REGIONAL,6218,NAC. DANIEL A. CARRION,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,CALLAO,CALLAO,BELLAVISTA,70102,AV. GUARDIA CHALACA Nº 2176,8,0,0,CALLAO,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,1317,HOSPITAL DANIEL A. CARRION,III-1,6147474,RESOLUCIÓN,RD 463 DG -DESI -DSS-DIRESA -L -2010,24 HORAS,01/03/1941,MARIA ELENA AGUILAR DEL AGUILA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.124813,-12.063792,14.0,526.0,-77.124813,-12.063792
4787,GOBIERNO REGIONAL,3156,SAN JUAN DE DIOS (AYAVIRI),HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,PUNO,MELGAR,AYAVIRI,210801,JR. ARICA Nº 310,29,10,0,PUNO,MELGAR,NO PERTENECE A NINGUNA MICRORED,915,SALUD MELGAR,II-1,051-563265,RESOLUCIÓN,,24 HORAS,09/01/1966,ALBERTO SUCA HUAQUIPACO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-70.58784331,-14.88279167,3958.0,56.0,-70.58784331,-14.88279167
4788,ESSALUD,16157,HOSPITAL II MOQUEGUA,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,180101,URBANIZACION CAPILLUNE S/N SAN FRANCISCO,26,0,0,MOQUEGUA,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-1,461565,RESOLUCIÓN,,LAS 24 HORAS,16/03/2000,JAIME RAUL URDAY HUARILLOCLLA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-70.953475,-17.19469167,1363.8,31.0,-70.953475,-17.19469167
4945,GOBIERNO REGIONAL,1543,VICTOR RAMOS GUARDIA - HUARAZ,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,ANCASH,HUARAZ,HUARAZ,20101,AV. LUZURIAGA S/N CUADRA 12,2,0,0,ANCASH,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,741,REGION ANCASH-SALUD HUARAZ,II-2,"043-424146 ; RADIO:1,5.800.0 KHZ, HF - OAX - 82",RESOLUCIÓN,715-2006,24 HORAS,07/12/1963,ZOSIMO RUBEN VILLACAQUI ROJAS ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.529311,-9.534568,3425.0,130.0,-77.529311,-9.534568
5332,ESSALUD,10267,HOSPITAL I ESSALUD- SULLANA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,PIURA,SULLANA,SULLANA,200601,CALLE SANTA CLARA MZA O LOTE 44 SANCHEZ CERRO,28,0,0,PIURA,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,Sin Categoría,073-502042,RESOLUCIÓN,,24 HORAS,29/08/1996,JOSE AVELINO CESPEDES MEDRANO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-80.69131494,-4.90640275,73.1,20.0,-80.69131494,-4.90640275
5349,ESSALUD,8265,HOSPITAL NACIONAL ALBERTO SABOGAL SOLOGUREN DE LA RED ASISTENCIAL SABOGAL,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,CALLAO,CALLAO,BELLAVISTA,70102,JR. COLINA NRO. 1081,8,0,0,CALLAO,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,III-1,01-4297744,RESOLUCIÓN,Nº 1141-2012-GRC,24 HORAS,12/08/1955,MARIA DEL CARMEN A SANCHEZ MEDINA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.1214128,-12.0639353,,420.0,-77.1214128,-12.0639353
5508,GOBIERNO REGIONAL,3727,"HOSPITAL DE APOYO DE PUQUIO ""FELIPE HUAMÁN POMA DE AYALA""",HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,AYACUCHO,LUCANAS,PUQUIO,50601,AV. ARNALDO ALVARADO DE GREGORY Nº 969 - PUQUIO,5,7,0,AYACUCHO,LUCANAS,NO PERTENECE A NINGUNA MICRORED,1025,SALUD SUR AYACUCHO,II-1,066-452233,RESOLUCIÓN,Nº 1512-2012-GRA/GG-GRDS-DIRESA-DR,24 HORAS,30/06/1956,CESAR GUSTAVO BARRERA SEPEDA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-74.11954333,-14.68641667,3233.3,50.0,-74.11954333,-14.68641667
5550,ESSALUD,16153,HOSPITAL II ILO,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,MOQUEGUA,ILO,ILO,180301,JIRON MIRAMAR S/N,26,0,0,MOQUEGUA,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-1,482341,RESOLUCIÓN,,LAS 24 HORAS,01/01/1965,JORGE LUIS MONROY PIEROLA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-71.34284667,-17.64222167,5.3,23.0,-71.34284667,-17.64222167
5673,GOBIERNO REGIONAL,2974,SAN MARTIN DE P. (MACUSANI),HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,PUNO,CARABAYA,MACUSANI,210301,JR. GRAU Nº 511 - MACUSANI,29,5,0,PUNO,MACUSANI,NO PERTENECE A NINGUNA MICRORED,1006,SALUD MACUSANI,II-1,051-816155,RESOLUCIÓN,,24 HORAS,24/02/1989,IVAN PEDRO MACHACA TAPIA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-70.42967167,-14.071945,4333.8,20.0,-70.42967167,-14.071945
5674,ESSALUD,9747,HOSPITAL II PASCO,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,PASCO,PASCO,SIMON BOLIVAR,190109,BARRIO BUENOS AIRES S/N,27,0,0,PASCO,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-2,063-422189,RESOLUCIÓN,,24 HORAS,03/12/1991,YILBERT YADIR LENIN ZEBALLOS PACHECO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.26519,-10.68630333,4321.1,50.0,-76.26519,-10.68630333
5850,GOBIERNO REGIONAL,7732,HOSPITAL REGIONAL MOQUEGUA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,180101,AVENIDA SAN ANTONIO NORTE S/N,26,0,0,MOQUEGUA,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,1394,HOSPITAL REGIONAL MOQUEGUA,II-2,53633000,RESOLUCIÓN,,24 HORAS,26/11/1966,MIRTHA ELENA HUERTAS DE REYNOSO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-70.93721,-17.19522,1410.0,64.0,-70.93721,-17.19522
6015,GOBIERNO REGIONAL,11470,HOSPITAL REGIONAL LAMBAYEQUE,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LAMBAYEQUE,CHICLAYO,CHICLAYO,140101,VIA DE EVITAMIENTO PANAMERICANA NORTE Y AV. EL PROGRESO S/N (PROVINCIA CHICLAYO),19,0,0,LAMBAYEQUE,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,1422,HOSPITAL REGIONAL DE LAMBAYEQUE,III-1,074-437405,RESOLUCIÓN,,24 HORAS,24/10/2011,LUIS FELIPE VIGO VARGAS ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-79.863203,-6.761813,0.0,175.0,-79.863203,-6.761813
6108,GOBIERNO REGIONAL,5251,PROVINCIAL DE VIRU,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LA LIBERTAD,VIRU,VIRU,131201,CALLE SUCRE Nº 799,18,6,1,LA LIBERTAD,RED VIRU,VIRU,1617,SALUD VIRU,II-1,044-641088,RESOLUCIÓN,1689-2015-GRLL-GGR-GRSS,24 HORAS,29/09/1988,JENNER FREDY DAVILA ALVARADO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-78.75028703,-8.41499745,90.0,18.0,-78.75028703,-8.41499745
6182,GOBIERNO REGIONAL,932,HOSPITAL DE TINGO MARIA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,HUANUCO,LEONCIO PRADO,LUYANDO,100605,HOSPITAL MAPRESA-TINGO MARIA,14,3,0,HUANUCO,LEONCIO PRADO,NO PERTENECE A NINGUNA MICRORED,811,SALUD TINGO MARIA,II-1,062-562018/062-562019,RESOLUCIÓN,936-2011-GRH-DG/DESP/DSS,24 HORAS,01/12/1987,CIRO HUAMAN DAMAS ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-75.98777333,-9.27106333,650.2,75.0,-75.98777333,-9.27106333
6236,GOBIERNO REGIONAL,4950,MARIA AUXILIADORA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,10601,JIRÓN JIRON ALONSO DE ALVARADO S/N - RODRIGUEZ DE MENDOZA S/N JIRON ALONSO DE ALVARADO S/N - RODRIGUEZ DE MENDOZA SAN NICOLAS RODRIGUEZ DE MENDOZA AMAZONAS ,1,1,0,AMAZONAS,CHACHAPOYAS,NO PERTENECE A NINGUNA MICRORED,725,REGION AMAZONAS-SALUD,II-1,041-476046,RESOLUCIÓN,,24 HORAS,15/03/1960,HELDER RODRIGUEZ ZELADA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.47855167,-6.39564667,1597.5,18.0,-77.47855167,-6.39564667
6284,GOBIERNO REGIONAL,340,HOSPITAL DE APOYO PICHANAKI,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,JUNIN,CHANCHAMAYO,PICHANAQUI,120303,AVENIDA AV. SAN MARTIN S/N PICHANAKI S/N AV. SAN MARTIN S/N PICHANAKI PICHANAQUI CHANCHAMAYO JUNIN ,17,7,0,JUNIN,PICHANAKI,NO PERTENECE A NINGUNA MICRORED,1612,GOB. REG. DE JUNIN - RED DE SALUD PICHANAKI,II-1,064-347322,RESOLUCIÓN,1476-2015-DRSJ/OEGDRH,24 HORAS,01/05/2001,DANIEL NEHEMIAS HUAMANI SOLANO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-74.87183837,-10.92571391,537.0,43.0,-74.87183837,-10.92571391
6379,GOBIERNO REGIONAL,2021,HOSPITAL  LAS MERCEDES-PAITA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,PIURA,PAITA,PAITA,200501,LOS PESCADORES S/N LA PUNTA,28,6,4,PIURA,SULLANA,PAITA,1117,HOSPITAL DE APOYO I NUESTRA SEÑORA DE LAS MERCEDES DE PAITA,II-1,073-213442,RESOLUCIÓN,,24 HORAS,01/02/1988,ARTURO ADANAQUE ZAPATA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-81.09153053,-5.09081453,78.3,79.0,-81.09153053,-5.09081453
6464,ESSALUD,9068,HOSPITAL I HEROES DEL CENEPA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,AMAZONAS,BAGUA,BAGUA,10201,JR. LAMBAYEQUE N° 517,1,0,0,AMAZONAS,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-1,041-471424,RESOLUCIÓN,,24 HORAS,22/09/1999,REMIGIO LEONCIO CABREJOS CARMONA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-78.53341476,-5.63313044,441.894,13.0,-78.53341476,-5.63313044
6679,ESSALUD,10244,HOSPITAL II JORGE REATEGUI DELGADO,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,PIURA,PIURA,PIURA,200101,AVENIDA GRAU N° 1150,28,0,0,PIURA,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,Sin Categoría,073-323181,RESOLUCIÓN,,24 HORAS,09/09/1951,NORA ELIZABETH VITE JUAREZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-80.6363336,-5.1933154,,95.0,-80.6363336,-5.1933154
6689,GOBIERNO REGIONAL,3917,ACOBAMBA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,HUANCAVELICA,ACOBAMBA,ACOBAMBA,90201,AVENIDA AV. MANCO CAPAC N° 705 AV. MANCO CAPAC N° 705 ACOBAMBA ACOBAMBA HUANCAVELICA ,13,2,0,HUANCAVELICA,ACOBAMBA,NO PERTENECE A NINGUNA MICRORED,1646,RED DE SALUD ACOBAMBA,II-1,#999302266 ,RESOLUCIÓN,286-2015/GOB.REG-HVCA/DIRESA,24 HORAS,28/09/1988,LUIS ANTONIO AGUILAR TERRONES ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-74.5719,-12.84306,3423.0,26.0,-74.5719,-12.84306
6727,GOBIERNO REGIONAL,3032,ILAVE,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,PUNO,EL COLLAO,ILAVE,210501,JR. ATAHUALPA Nº 685 - ILAVE,29,7,0,PUNO,COLLAO,NO PERTENECE A NINGUNA MICRORED,968,SALUD COLLAO,II-1,051-552041,RESOLUCIÓN,,24 HORAS,01/01/1900,OSCAR NEMESIO UGARTE SALAZAR ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-69.63772243,-16.08276041,3899.2,35.0,-69.63772243,-16.08276041
6760,ESSALUD,20925,HOSPITAL DE ALTA COMPLEJIDAD DE LA LIBERTAD VIRGEN DE LA PUERTA,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LA LIBERTAD,TRUJILLO,LA ESPERANZA,130105,"AV. N° 05 Y N° 02, URB PARQUE INDUSTRIAL",18,0,0,LA LIBERTAD,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,Sin Categoría,044-480860,RESOLUCIÓN,,24 HORAS,16/12/2014,EDILBERTO YURI VILCA ROJAS ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-79.05803067,-8.05433251,128.0,,-79.05803067,-8.05433251
6946,GOBIERNO REGIONAL,1,"HOSPITAL IQUITOS ""CESAR GARAYAR GARCIA""",HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LORETO,MAYNAS,IQUITOS,160101,CALLE CORNEJO PORTUGAL N° 1710,24,0,0,LORETO,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,872,HOSPITAL DE APOYO IQUITOS,II-2,065-263749,RESOLUCIÓN,,24 HORAS,01/01/1960,CARLOS CALAMPA DEL AGUILA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-73.253653,-3.762818,106.0,120.0,-73.253653,-3.762818
7368,ESSALUD,9038,HOSPITAL I -  MOCHE,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LA LIBERTAD,TRUJILLO,MOCHE,130107,CALLE ELIO JACOBO CAFFO S/N URB EL PARAISO,18,0,0,LA LIBERTAD,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-1,044-465209,RESOLUCIÓN,,24 HORAS,21/02/1988,MARITZA YSABEL SALINAS BODERO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-79.0126097,-8.167579,7.0,6.0,-79.0126097,-8.167579
